Paint mixture ;Sample;Uncovered L*(D65);Uncovered a*(D65);Uncovered b*(D65);E value Uncovered;TruVue L*(D65);TruVue a*(D65);TruVue b*(D65);E value TruVue;Covered L*(D65);Covered L*(D65);Covered L*(D65);E Value Covered
A;1;37.19;47.3;25.66;64.01;38.53;49.2;26.91;63.69;38.51;38.51;38.51;69.08
A;1;38.17;48.75;27.07;62.13;40.39;50.07;28.67;68.68;39.29;39.29;39.29;68.12
A;1;39.61;50.99;28.03;69.54;38.81;49.88;27.04;67.29;39.18;39.18;39.18;67.91
A;1;37.53;49.28;27.51;64.13;36.05;47.75;28.42;65.59;38.3;38.3;38.3;67.41
A;1;35.55;47.02;27.07;66.17;38.9;50.39;28.04;66.13;38.62;38.62;38.62;66.83
A;2;35.68;44.65;22.91;62.91;37.31;45.47;24.02;64.57;36.54;36.54;36.54;69.28
A;2;37.19;45.73;23.47;63.71;35.96;46.33;25.45;64.93;37.3;37.3;37.3;67.38
A;2;35.36;42.79;21.6;66.37;37.67;46.65;25.93;64.16;39.29;39.29;39.29;68.80
A;2;38.2;45.98;23.96;62.50;36.44;45.52;24.7;64.95;39.45;39.45;39.45;68.19
A;2;35.08;43.9;22.1;66.01;38.86;49.43;26.87;65.32;37.72;37.72;37.72;69.08
A;3;35.2;46.17;23.76;62.36;39.27;51.19;25.93;61.75;38.95;38.95;38.95;64.37
A;3;37.79;46.17;24.75;59.90;39.43;48.92;27;63.43;40.16;40.16;40.16;62.60
A;3;40.31;48.42;23.21;65.72;38.48;49.85;27.78;66.29;41.31;41.31;41.31;66.70
A;3;35.86;47.05;24.73;61.93;38.5;50.8;26.5;62.01;40.56;40.56;40.56;71.63
A;3;37.46;48.34;26.33;59.76;39.08;49.73;27.26;66.78;37.72;37.72;37.72;68.31
A;4;40.41;47.81;28.44;69.29;38.15;48.56;28.89;69.78;39.26;39.26;39.26;70.41
A;4;40.81;49.34;27.54;67.63;37.75;48.38;29.66;70.25;41.29;41.29;41.29;69.82
A;4;38.26;49.18;29.17;60.88;39.83;47.09;30.4;70.27;41.84;41.84;41.84;72.63
A;4;40.54;48.05;28.74;65.96;38.9;46.35;29.67;66.76;41.4;41.4;41.4;71.48
A;4;39.99;46.79;29;69.16;40.62;47.21;30.1;67.95;39.82;39.82;39.82;71.47
A;5;36.44;44.33;24.4;65.82;34.43;44.64;25.2;65.30;35.78;35.78;35.78;73.01
A;5;34.69;43.44;22.31;65.12;33.97;46.58;26.45;65.71;34.54;34.54;34.54;73.59
A;5;37.39;47.1;26.51;67.23;36.72;47.7;27.76;66.18;35.62;35.62;35.62;71.47
A;5;34.4;45.05;24.94;63.65;34.73;44.8;25.15;68.91;39.29;39.29;39.29;71.86
A;5;33.98;43.22;23.43;64.80;35.04;49.09;28.66;66.94;37.95;37.95;37.95;72.27
A;6;35.26;45.38;25.59;62.73;35.73;46.1;27.71;69.53;37.05;37.05;37.05;70.56
A;6;34.46;46.28;27.01;64.59;36.64;46.69;26.33;68.39;36.68;36.68;36.68;70.18
A;6;37.04;47.98;27.03;67.14;36.01;45.94;26.63;68.83;35.96;35.96;35.96;73.06
A;6;34.23;45.37;26;64.12;36.12;47.08;26.4;69.03;37.06;37.06;37.06;72.13
A;6;37.3;47.25;27.08;66.58;35.8;47.19;27.54;68.87;36.88;36.88;36.88;66.66
A;7;37.44;45.4;25.19;68.76;36.24;45.33;26.24;68.18;37.52;37.52;37.52;71.24
A;7;36.94;43.66;24.28;69.70;38.43;49.41;28.27;68.16;36.5;36.5;36.5;71.53
A;7;40.4;50.98;24.6;68.80;37.46;48.53;27.73;68.76;36.1;36.1;36.1;73.67
A;7;36.86;45.96;25.34;69.13;36.44;47.12;27.46;67.39;37.39;37.39;37.39;71.59
A;7;38.13;46.98;26.78;68.04;38.43;46.42;27.22;69.17;36.41;36.41;36.41;67.71
A;8;40.57;48.92;27.61;52.45;39.83;48.82;29.98;55.89;40.44;40.44;40.44;57.34
A;8;38.92;48.53;26.52;52.02;40.27;49.56;29.28;54.17;39.99;39.99;39.99;57.34
A;8;35.84;44.25;21.53;53.87;38.75;50.21;30.26;55.17;40.46;40.46;40.46;56.68
A;8;38.36;47.87;24.24;53.21;38.83;47.8;25.77;55.27;40.3;40.3;40.3;57.51
A;8;40.6;48.91;27.25;52.67;39.24;47.57;28.53;54.56;39.71;39.71;39.71;57.66
B;9;34.49;34.79;18.73;65.41;34.49;37.62;22.77;68.04;34.44;34.44;34.44;67.20
B;9;34.4;34.45;18.33;67.57;32.63;37.55;21.43;70.43;34.16;34.16;34.16;69.51
B;9;34.74;36.24;19.55;70.39;33.86;37.3;22.49;68.74;34.24;34.24;34.24;69.98
B;9;34.61;35.38;19.55;67.78;32.3;38.8;22.49;66.24;33.87;33.87;33.87;68.00
B;9;35.55;34.2;18.47;64.86;32.53;37.83;22.09;69.56;33.07;33.07;33.07;69.91
A;10;32.69;44.83;23.28;61.58;31.22;44.56;23.7;63.53;35.86;35.86;35.86;64.72
A;10;35.61;47.26;24.92;63.44;31.76;45.22;24.21;63.93;33.93;33.93;33.93;67.75
A;10;33.49;44.65;22.78;59.56;32.67;45.41;24.21;65.33;35.06;35.06;35.06;68.18
A;10;32.99;45.39;24.57;64.40;31.89;45.03;24.49;63.32;34.8;34.8;34.8;70.60
A;10;31.77;45.12;23.87;60.38;32.59;44.81;24.34;68.38;34.02;34.02;34.02;69.63
A;11;38.6;47.67;23.87;60.17;37.32;47.06;25.63;59.35;41.12;41.12;41.12;63.99
A;11;37.02;47.18;25.39;64.21;37.86;47.26;25.51;60.33;41.34;41.34;41.34;61.65
A;11;38.86;48.24;26.12;60.28;38.17;47.51;25.81;60.96;40.88;40.88;40.88;64.67
A;11;37.61;45.41;23.97;61.26;39.67;49.1;27.64;60.37;41.42;41.42;41.42;65.69
A;11;37.24;46.86;24.82;60.12;38.49;47.73;26.86;60.52;41.43;41.43;41.43;62.69
