Paint mixture ;Sample;Uncovered L*(D65);Uncovered a*(D65);Uncovered b*(D65);TruVue L*(D65);TruVue a*(D65);TruVue b*(D65);Covered L*(D65);Covered a*(D65);Covered b*(D65)
A;1;37.19;37.19;37.19;37.19;37.19;26.91;38.51;47.75;27.44
A;1;38.17;48.75;27.07;40.39;50.07;28.67;39.29;50.15;27.79
A;1;39.61;50.99;28.03;38.81;49.88;27.04;39.18;50.27;28.90
A;1;37.53;49.28;27.51;36.05;47.75;28.42;38.30;48.93;27.63
A;1;35.55;47.02;27.07;38.90;50.39;28.04;38.62;50.25;29.51
A;2;35.68;44.65;22.91;37.31;45.47;24.02;36.54;46.78;25.80
A;2;37.19;45.73;23.47;35.96;46.33;25.45;37.30;49.10;28.06
A;2;35.36;42.79;21.60;37.67;46.65;25.93;39.29;47.96;28.37
A;2;38.20;45.98;23.96;36.44;45.52;24.70;39.45;51.39;28.06
A;2;35.08;43.90;22.10;38.86;49.43;26.87;37.72;50.58;29.45
A;3;35.20;46.17;23.76;39.27;51.19;25.93;38.95;51.62;28.23
A;3;37.79;46.17;24.75;39.43;48.92;27.00;40.16;50.13;28.28
A;3;40.31;48.42;23.21;38.48;49.85;27.78;41.31;53.33;28.06
A;3;35.86;47.05;24.73;38.50;50.80;26.50;40.56;52.32;28.63
A;3;37.46;48.34;26.33;39.08;49.73;27.26;37.72;48.10;26.59
A;4;40.41;47.81;28.44;38.15;48.56;28.89;39.26;51.12;30.33
A;4;40.81;49.34;27.54;37.75;48.38;29.66;41.29;48.89;31.97
A;4;38.26;49.18;29.17;39.83;47.09;30.40;41.84;51.95;31.27
A;4;40.54;48.05;28.74;38.90;46.35;29.67;41.40;49.20;31.47
A;4;39.99;46.79;29.00;40.62;47.21;30.10;39.82;46.59;28.77
A;5;36.44;44.33;24.40;34.43;44.64;25.20;35.78;46.83;25.90
A;5;34.69;43.44;22.31;33.97;46.58;26.45;34.54;45.77;25.12
A;5;37.39;47.10;26.51;36.72;47.70;27.76;35.62;48.59;28.62
A;5;34.40;45.05;24.94;34.73;44.80;25.15;39.29;52.26;29.27
A;5;33.98;43.22;23.43;35.04;49.09;28.66;37.95;49.01;28.70
A;6;35.26;45.38;25.59;35.73;46.10;27.71;37.05;49.90;30.60
A;6;34.46;46.28;27.01;36.64;46.69;26.33;36.68;48.79;28.54
A;6;37.04;47.98;27.03;36.01;45.94;26.63;35.96;50.11;30.48
A;6;34.23;45.37;26.00;36.12;47.08;26.40;37.06;49.75;28.31
A;6;37.30;47.25;27.08;35.80;47.19;27.54;36.88;49.92;30.33
A;7;37.44;45.40;25.19;36.24;45.33;26.24;37.52;50.38;28.75
A;7;36.94;43.66;24.28;38.43;49.41;28.27;36.50;49.84;28.70
A;7;40.40;50.98;24.60;37.46;48.53;27.73;36.10;50.07;28.31
A;7;36.86;45.96;25.34;36.44;47.12;27.46;37.39;49.02;27.26
A;7;38.13;46.98;26.78;38.43;46.42;27.22;36.41;48.96;27.26
A;8;40.57;48.92;27.61;39.83;48.82;29.98;40.44;48.92;30.48
A;8;38.92;48.53;26.52;40.27;49.56;29.28;39.99;49.17;29.29
A;8;35.84;44.25;21.53;38.75;50.21;30.26;40.46;52.70;29.35
A;8;38.36;47.87;24.24;38.83;47.80;25.77;40.30;51.63;28.63
A;8;40.60;48.91;27.25;39.24;47.57;28.53;39.71;50.47;31.37
B;9;34.49;34.79;18.73;34.49;37.62;22.77;34.44;39.28;23.63
B;9;34.40;34.45;18.33;32.63;37.55;21.43;34.16;39.36;23.90
B;9;34.74;36.24;19.55;33.86;37.30;22.49;34.24;38.81;23.11
B;9;34.61;35.38;19.55;32.30;38.80;22.49;33.87;40.03;23.63
B;9;35.55;34.20;18.47;32.53;37.83;22.09;33.07;40.46;24.37
A;10;32.69;44.83;23.28;31.22;44.56;23.70;35.86;46.53;25.38
A;10;35.61;47.26;24.92;31.76;45.22;24.21;33.93;45.11;24.79
A;10;33.49;44.65;22.78;32.67;45.41;24.21;35.06;47.46;26.48
A;10;32.99;45.39;24.57;31.89;45.03;24.49;34.80;48.42;27.57
A;10;31.77;45.12;23.87;32.59;44.81;24.34;34.02;45.92;25.76
A;11;38.60;47.67;23.87;37.32;47.06;25.63;41.12;52.24;30.17
A;11;37.02;47.18;25.39;37.86;47.26;25.51;41.34;52.76;30.39
A;11;38.86;48.24;26.12;38.17;47.51;25.81;40.88;50.01;30.60
A;11;37.61;45.41;23.97;39.67;49.10;27.64;41.42;49.84;31.06
A;11;37.24;46.86;24.82;38.49;47.73;26.86;41.43;50.10;31.57
;;;;;;;;;;
;;;;;;;;;;
