Paint mixture ;Sample;Covered  vs. Uncovered;Covered  vs. TruVue;Uncovered vs. TruVue
A;1;2.26;1.54;2.64
A;1;1.93;1.41;3.04
A;1;1.21;1.94;1.69
A;1;0.85;2.66;2.32
A;1;5.08;1.50;4.85
A;2;3.69;2.34;2.14
A;2;5.70;4.03;2.41
A;2;9.38;3.21;6.24
A;2;6.90;7.40;1.96
A;2;10.28;3.05;8.22
A;3;7.98;2.36;6.82
A;3;5.81;1.91;3.91
A;3;6.97;4.49;5.13
A;3;8.07;3.33;4.92
A;3;0.44;2.23;2.33
A;4;3.98;3.14;2.42
A;4;4.48;4.26;3.84
A;4;4.99;5.33;2.89
A;4;3.08;4.20;2.54
A;4;0.35;1.67;1.34
A;5;2.99;2.67;2.19
A;5;3.65;1.66;5.25
A;5;3.13;1.66;1.54
A;5;9.73;9.67;0.46
A;5;8.78;2.91;7.93
A;6;6.98;4.95;2.29
A;6;3.68;3.05;2.32
A;6;4.20;5.68;2.32
A;6;5.70;3.41;2.58
A;6;4.23;4.05;1.57
A;7;6.12;5.78;1.60
A;7;7.61;2.02;7.16
A;7;5.75;2.13;4.94
A;7;3.65;2.13;2.45
A;7;2.67;3.25;0.77
A;8;2.87;0.80;2.48
A;8;3.04;0.48;3.24
A;8;12.41;3.15;10.96
A;8;6.10;5.00;1.60
A;8;4.49;4.09;2.30
B;9;6.65;1.87;4.93
B;9;7.43;3.42;4.73
B;9;4.42;1.68;3.25
B;9;6.23;2.30;5.07
B;9;8.95;3.52;5.95
A;10;4.17;5.31;1.55
A;10;2.73;2.25;4.41
A;10;4.90;3.88;1.82
A;10;4.63;5.43;1.16
A;10;3.05;2.30;0.99
A;11;8.18;7.87;2.26
A;11;8.65;8.13;0.85
A;11;5.22;6.04;1.05
A;11;9.19;3.91;5.60
A;11;8.58;6.04;2.55
