Sample;Participant;Age;Sex;Colourblind;1. How many, if any, contained areas with different shades of red do you see?;2. Can you tell the difference  between 1 and 2?;3. Can you tell the difference  between 2 and 3?;4. Can you tell the difference  between 1 and 3?;5A. Of 1, 2 and 3, which is the most different?;5B. What makes them different?;Light conditions;;;
1;1;20-29;Male;No;5;Somewhat visible;Somewhat visible;Very visible;3;Darker;Electric;;;
1;2;50-59;Female;No;5;Somewhat visible;Somewhat visible;No Difference ;1;Lighter;Daylight;;;
1;3;50-59;Male;No;4;Somewhat visible;No Difference ;Somewhat visible;1;Lighter;Daylight;;;
1;4;30-39;Female;No;2;Somewhat visible;No Difference ;Somewhat visible;3;Darker;Electric;;;
1;5;30-39;Female;No;3;Somewhat visible;No Difference ;Very visible;3;Darker;Electric;;;
1;6;30-39;Female;No;3;Somewhat visible;No Difference ;Very visible;3;Darker;Electric;;;
1;7;50-59;Male;No;1;No Difference ;No Difference ;No Difference ;None;None;Daylight;;;
1;8;80-89;Female;No;3;Somewhat visible;Somewhat visible;Very visible;3;Darker;Daylight;;;
1;9;20-29;Female;No;4;No Difference ;No Difference ;No Difference ;None;Darker;Daylight;;;
1;10;30-39;Prefer not to say;No;4;No Difference ;No Difference ;No Difference ;None;None;Daylight;;;
2;1;20-29;Male;No;4;No Difference ;Somewhat visible;Somewhat visible;3;Lighter;Daylight;;;
2;2;50-59;Female;No;2;No Difference ;Somewhat visible;Somewhat visible;2;Darker;Daylight;;;
2;3;20-29;Female;No;3;Somewhat visible;Somewhat visible;Very visible;3;Lighter;Daylight;;;
2;4;20-29;Prefer not to say;No;2;No Difference ;Somewhat visible;Somewhat visible;1;Lighter;Electric;;;
2;5;50-59;Male;No;2;No Difference ;Somewhat visible;No Difference ;3;Lighter;Electric;;;
2;6;50-59;Female;No;4;Somewhat visible;Very visible;Very visible;1;Darker;Candle light;;;
2;7;50-59;Female;No;3;Somewhat visible;Somewhat visible;Very visible;1;Darker;Candle light;;;
3;1;30-39;Female;No;5;Somewhat visible;Somewhat visible;Somewhat visible;None;;Daylight;;;
3;2;50-59;Female;No;4;Very visible;Somewhat visible;Somewhat visible;1;Lighter;Daylight;;;
3;3;70-79;Female;No;3;Somewhat visible;No Difference ;Somewhat visible;1;Lighter;Daylight;;;
3;4;20-29;Male;No;4;No Difference ;Somewhat visible;Somewhat visible;1;Darker;Daylight;;;
3;5;30-39;Male;No;3;Somewhat visible;No Difference ;No Difference ;1;Lighter;Daylight;;;
3;6;60-69;Male;No;3;Somewhat visible;No Difference ;Very visible;1;Lighter;Daylight;;;
3;7;70-79;Male;No;5;Somewhat visible;No Difference ;Somewhat visible;1;Lighter;Daylight;;;
4;1;20-29;Male;No;1;Somewhat visible;Somewhat visible;No Difference ;1;Lighter;Electric;;;
4;2;20-29;Female;No;1;Somewhat visible;Somewhat visible;No Difference ;1;Lighter;Electric;;;
4;3;20-29;Male;No;2;Somewhat visible;Somewhat visible;No Difference ;1;Lighter;Electric;;;
4;4;20-29;Male;No;2;Somewhat visible;Somewhat visible;No Difference ;1;Lighter;Electric;;;
4;5;20-29;Female;No;2;Somewhat visible;Somewhat visible;No Difference ;1;Lighter;Electric;;;
4;6;20-29;Male;No;2;Somewhat visible;Somewhat visible;No Difference ;1;Lighter;Electric;;;
4;7;20-29;Female;No;2;Somewhat visible;Somewhat visible;No Difference ;1;Lighter;Electric;;;
5;1;20-30;Female;No;2;No Difference ;Somewhat visible;Somewhat visible;3;Lighter;Electric;;;
5;2;70-79;Male;No;4;No Difference ;Very visible;Somewhat visible;3;Lighter;Electric;;;
5;3;10-19;Male;No;3;No Difference ;Somewhat visible;Somewhat visible;3;Lighter;Electric;;;
5;4;30-39;Male;No;3;No Difference ;Somewhat visible;Somewhat visible;3;Lighter;Electric;;;
5;5;10-19;Male;No;4;No Difference ;Somewhat visible;Somewhat visible;3;Lighter;Electric;;;
5;6;60-69;Male;No;8;Somewhat visible;Very visible;Somewhat visible;3;Lighter;Electric;;;
5;7;70-79;Male;No;6;No Difference ;Somewhat visible;Somewhat visible;3;Lighter;Electric;;;
5;8;40-49;Female;No;3;Somewhat visible;Somewhat visible;Somewhat visible;3;Lighter;Electric;;;
5;9;50-59;Male;No;5;No Difference ;Somewhat visible;Somewhat visible;1;Lighter;Electric;;;
6;1;20-29;Female;No;3;Somewhat visible;No Difference ;Somewhat visible;1;Lighter;Electric;;;
6;2;60-69;Female;No;3;Very visible;No Difference ;Very visible;1;Lighter;Electric;;;
6;3;60-69;Male;No;3;Very visible;Somewhat visible;Very visible;1;Lighter;Electric;;;
6;4;30-39;Other;No;3;Very visible;Somewhat visible;Very visible;1;Lighter;Electric;;;
6;5;30-39;Male;Yes;1;Somewhat visible;No Difference ;Somewhat visible;1;Lighter;Electric;;;
6;6;30-39;Female;No;5;Very visible;Somewhat visible;Very visible;3;Darker;Electric;;;
6;7;30-39;Male;No;3;Somewhat visible;No Difference ;Somewhat visible;1;Lighter;Electric;;;
6;8;30-39;Female;No;3;Somewhat visible;Somewhat visible;Somewhat visible;2;Darker;Electric;;;
7;1;20-29;Male;No;1;Somewhat visible;Somewhat visible;Somewhat visible;2;Darker;Electric;;;
7;2;20-29;Male;No;3;Very visible;Somewhat visible;Somewhat visible;2;Darker;Electric;;;
7;3;20-29;Female;No;1;Somewhat visible;Somewhat visible;Somewhat visible;3;Darker;Electric;;;
7;4;20-29;Female;No;3;Somewhat visible;Somewhat visible;Very visible;1;Lighter;Electric;;;
7;5;20-29;Female;No;3;Somewhat visible;Very visible;Somewhat visible;3;Darker;Electric;;;
7;6;20-29;Male;No;5;Somewhat visible;Somewhat visible;No Difference ;2;Lighter;Electric;;;
